d_H_ws, d_H_err_ws, d_H, d_H_err,size_min,size_max,n_sizes
5.041808578910304,1.117918043215439,4.640394558029669,0.9207465857338302,50,200,8
3.4,0.7,4.144,0.922,50,200,8
4.54,0.65,4.480,0.661,50,200,8
2.94,0.45,3.28,0.46,50,200,8
3.67,0.63,3.971,0.403,50,200,8
2.956,0.48,3.135,0.41,50,200,10
3.971,0.46,3.602,0.321,50,200,10
4.47,0.83,4.392,0.83,50,200,10
4.47,0.524,4.177,0.531,50,200,10
3.401,0.508,3.218,0.38,50,200,10
4.633,0.946,4.813,0.835,50,200,10
4.152,0.66,4.639,0.59,50,200,10
5.381,1.584,4.455,1.061,50,200,10
3.925,0.828,4.027,0.651,50,200,10
5.37,1.211,5.328,0.901,50,200,10
4.433,1.224,3.911,0.83,50,200,10
3.285,0.752,3.429,0.62,50,200,10
3.779,0.394,3.675,0.4,50,200,10
3.887,0.386,3.498,0.333,50,200,10
4.222,0.821,5.245,0.801,50,200,10
4.513,0.873,4.162,0.737,50,200,10
3.329,0.402,3.384,0.319,50,200,10
3.844,0.778,3.688,0.539,50,200,10
4.547,1.055,4.014,0.687,50,200,10
5.19,1.519,5.26,1.433,50,200,10
3.895,0.64,3.597,0.34,50,200,10
3.221,0.375,3.483,0.327,50,200,10
