d_H_ws, d_H_err_ws, d_H, d_H_err,size_min,size_max,n_sizes,,,,
5.041808579,1.117918043,4.640394558,0.920746586,50,200,8,,,,
3.4,0.7,4.144,0.922,50,200,8,,,,
4.54,0.65,4.48,0.661,50,200,8,,,,
2.94,0.45,3.28,0.46,50,200,8,,,,
3.67,0.63,3.971,0.403,50,200,8,,,,
2.956,0.48,3.135,0.41,50,200,10,,,,
3.971,0.46,3.602,0.321,50,200,10,,,,
4.47,0.83,4.392,0.83,50,200,10,,,,
4.47,0.524,4.177,0.531,50,200,10,,,,
3.401,0.508,3.218,0.38,50,200,10,,,,
4.633,0.946,4.813,0.835,50,200,10,,,,
4.152,0.66,4.639,0.59,50,200,10,,,,
5.381,1.584,4.455,1.061,50,200,10,,,,
3.925,0.828,4.027,0.651,50,200,10,,,,
5.37,1.211,5.328,0.901,50,200,10,,,,
4.433,1.224,3.911,0.83,50,200,10,,,,
3.285,0.752,3.429,0.62,50,200,10,,,,
3.779,0.394,3.675,0.4,50,200,10,,,,
3.887,0.386,3.498,0.333,50,200,10,,,,
4.222,0.821,5.245,0.801,50,200,10,,,,
4.513,0.873,4.162,0.737,50,200,10,,,,
3.329,0.402,3.384,0.319,50,200,10,,,,
3.844,0.778,3.688,0.539,50,200,10,,,,
4.547,1.055,4.014,0.687,50,200,10,,,,
5.19,1.519,5.26,1.433,50,200,10,,,,
3.895,0.64,3.597,0.34,50,200,10,,,,
3.221,0.375,3.483,0.327,50,200,10,,,,
3.487,0.517,3.68,0.455,100,400,10,,,,
3.567,0.454,3.605,0.44,100,400,10,,,,
3.693,0.924,3.311,0.507,100,400,10,,,,
3.64,0.643,3.331,0.405,100,400,10,,,,
3.747,0.66,4.035,0.437,100,400,10,,,,
4.165,1.163,4.436,0.838,100,400,10,,,,
5.21,1.235,5.284,1.011,100,400,10,,,,
3.78,0.785,3.937,0.598,100,400,10,,,,
3.09,0.166,3.187,0.13,100,400,10,,,,
3.772,0.388,3.422,0.259,100,400,10,,,,
4.975,0.904,4.534,0.633,100,400,10,,,,
3.598,0.68,4.038,0.615,100,400,10,,,,
5.475,1.42,4.118,0.689,100,400,10,,,,
5.21,1.151,4.569,0.631,100,400,10,,,,
3.989,0.595,4.36,0.643,100,400,10,,,,
4.485,0.649,4.238,0.486,100,400,10,,,,
7.694,2.374,5.398,0.841,100,400,10,,,,
3.28,0.415,3.089,0.278,100,400,10,,,,
4.093,0.527,4.15,0.553,100,400,10,,,,
3.698,0.685,3.326,0.411,100,400,10,,,,
4.185,0.607,4.483,0.518,100,400,10,,,,
4.743,0.84,4.107,0.543,100,400,10,,,,
3.624,0.396,3.591,0.382,100,400,10,,,,
6.3,1.647,4.79,0.869,100,400,10,,,,
4.795,0.433,4.257,0.323,100,400,10,,,,
3.569,0.321,3.567,0.436,100,400,10,,,,
3.41,0.561,3.501,0.43,100,400,10,,,,
4.935,0.699,4.514,0.648,100,400,10,,,,
3.038,0.456,3.334,0.442,100,400,10,,,,
3.414,0.364,3.319,0.34,100,400,10,,,,
3.879,0.325,3.812,0.294,50,500,10,,,,
4.96,0.516,4.467,0.309,50,500,10,,,,
3.813,0.518,3.663,0.277,50,500,10,,,,
4.217,0.19,4.112,0.137,50,500,10,,,,
4.56,0.795,4.279,0.39,50,500,10,,,,
4.034,0.35,4.245,0.179,50,500,10,,,,
3.998,0.239,4.238,0.22,50,500,10,,,,
4.268,0.328,4.603,0.389,50,500,10,,,,
3.655,0.46,3.937,0.3,50,500,10,,,,
4.142,0.156,4.126,0.199,50,500,10,,,,
4.55,0.319,3.948,0.309,50,500,10,,,,
4.028,0.274,3.78,0.203,50,500,10,,,,
3.614,0.234,3.636,0.169,50,500,10,,,,
4.215,0.625,4.022,0.324,50,500,10,,,,
3.858,0.208,3.795,0.176,50,500,10,,,,
